episode,reward,moves,success
661,-978,15,0
662,-1985,23,0
663,-1998,36,0
664,-986,23,0
665,17.5369524,16,1
666,-1005,42,0
667,-999.6108769,36,0
668,-997,26,0
669,-997.4630476,34,0
670,-1003,40,0
671,22,14,1
672,-1012,49,0
673,-10.6108769,46,0
674,-22.8147908,58,0
675,-984,21,0
676,-2987.463048,26,0
677,-68.07168125,101,0
678,-1985,23,0
679,-998,35,0
680,19.1852092,16,1
681,-2015,53,0
682,-14,50,0
683,10,26,1
684,-986,23,0
685,16,22,1
686,-2996,35,0
687,-1021.534729,57,0
688,-986.0739245,20,0
689,-1991.926095,29,0
690,-2016.463048,52,0
691,-2013.463048,51,0
692,-1991,27,0
693,17,19,1
694,-1004,41,0
695,-12.4630476,48,0
696,-984,21,0
697,15,21,1
698,-1023.071681,59,0
699,-982,19,0
700,16,20,1
701,-2023,61,0
702,20,16,1
703,-1000.463048,37,0
704,-997,34,0
705,-3,39,0
706,20,16,1
707,-3036,71,0
708,-984,21,0
709,-30,66,0
710,11,25,1
711,-2993,30,0
712,-1015,52,0
713,-979,16,0
714,11,25,1
715,9,27,1
716,-2004,42,0
717,-1982.610877,20,0
718,-5015.347527,50,0
719,12.92831875,22,1
720,18,18,1
721,15,21,1
722,8,28,1
723,-18.4630476,54,0
724,-1010,47,0
725,-1984,22,0
726,-983,20,0
727,-1002,27,0
728,-3002,35,0
729,-992.7808949,26,0
730,-994,31,0
731,8,28,1
732,11,25,1
733,13.46726401,21,1
734,-9,45,0
735,17,19,1
736,13,23,1
737,-1052.532736,88,0
738,-1009,46,0
739,-40.4630476,76,0
740,-994.8147908,31,0
741,10.3891231,25,1
742,-1990.814791,24,0
743,-991.4630476,28,0
744,14,22,1
745,-4,40,0
746,17,19,1
747,-994,31,0
748,18,18,1
749,-1987,25,0
750,0,36,0
751,-1013,50,0
752,-2009,47,0
753,-6097,101,0
754,-1003,40,0
755,5,31,1
756,-1020,57,0
757,-1004,41,0
758,1.185209195,34,1
759,15,21,1
760,22,14,1
761,16,20,1
762,13,23,1
763,-989,26,0
764,-987,24,0
765,16,22,1
766,-10,46,0
767,-2017,55,0
768,-3029,68,0
769,-3,39,0
770,5,31,1
771,17.1852092,18,1
772,-1989,27,0
773,-1,37,0
774,10.3891231,25,1
775,-1032.532736,66,0
776,-2014,52,0
777,-1,37,0
778,-1036,73,0
779,20,16,1
780,22,14,1
781,1,35,1
782,-3,39,0
783,6,30,1
784,12,24,1
785,19,17,1
786,16,20,1
787,13,23,1
788,12,24,1
789,-989.6108769,26,0
790,5,31,1
791,-1987,25,0
792,-999,36,0
793,9,27,1
794,-1010.463048,47,0
795,20,16,1
796,20,16,1
797,8.389123096,27,1
798,-1,37,0
799,15,21,1
800,16,20,1
801,8,28,1
802,-1985,23,0
803,-18,54,0
804,-2004,42,0
805,4,32,1
806,-7.463047595,43,0
807,6,30,1
808,-997,34,0
809,14,22,1
810,16,20,1
811,-2015,53,0
812,-984,21,0
813,-999,36,0
814,-1054,91,0
815,19,17,1
816,-989,26,0
817,3,33,1
818,13,23,1
819,22,14,1
820,-2016,54,0
821,14,22,1
822,5,31,1
823,-1993,31,0
824,15,21,1
825,-1002,39,0
826,12,24,1
827,19,17,1
828,-1012,49,0
829,12,24,1
830,22,14,1
831,-22,58,0
832,18,18,1
833,3,33,1
834,18,18,1
835,-1994,32,0
836,-1019,56,0
837,11,25,1
838,-983,20,0
839,5,31,1
840,-999,36,0
841,13,23,1
842,14,22,1
843,-1001,38,0
844,-37046,101,0
845,-2050,88,0
846,-28,64,0
847,-1996,34,0
848,11,25,1
849,14.92831875,20,1
850,-1,37,0
851,7,29,1
852,13,23,1
853,-988,25,0
854,-996,33,0
855,-1026,63,0
856,-6,42,0
857,8,28,1
858,20,16,1
859,15,21,1
860,-1993,31,0
861,5.185209195,30,1
862,-336.6108769,28,0
863,15,21,1
864,-989,26,0
865,-1000,37,0
866,18.3891231,17,1
867,-1017,54,0
868,-981,18,0
869,16,20,1
870,-258,46,0
871,11,25,1
872,8.219105093,24,1
873,20,16,1
874,-3046.071681,84,0
875,-2003,41,0
876,-2006,44,0
877,15,21,1
878,13,23,1
879,-982,19,0
880,-982,19,0
881,-986.8147908,23,0
882,-2254,44,0
883,15,21,1
884,-238,26,0
885,-982,19,0
886,17.92831875,17,1
887,-7,43,0
888,-993,30,0
889,22,14,1
890,-1996,34,0
891,-3007.610877,48,0
892,17,19,1
893,-77,101,0
894,-256,44,0
895,14,22,1
896,-290,30,0
897,-258,46,0
898,-986,23,0
899,-1286,27,0
900,-299.0716813,38,0
901,-1025,62,0
902,7,29,1
903,-985,22,0
904,18,18,1
905,3,33,1
906,-982,19,0
907,5,31,1
908,3,33,1
909,-22,58,0
910,-1272.048999,33,0
911,19,17,1
912,18,18,1
913,18,18,1
914,9,29,1
915,16,20,1
916,-44,80,0
917,-39,75,0
918,-1010.610877,47,0
919,16,20,1
920,15,21,1
921,16,20,1
922,14,22,1
923,15.60822819,18,1
924,-17,55,0
925,16,20,1
926,-993,30,0
927,8,28,1
928,-146,32,0
929,12,24,1
930,-21,57,0
931,15,21,1
932,6,30,1
933,9.404314289,22,1
934,15,21,1
935,7,29,1
936,-248,36,0
937,-20.2439425,54,0
938,11,27,1
939,-1347,88,0
940,-20,56,0
941,-1309,50,0
942,-301,41,0
943,0,36,0
944,-19.7097866,54,0
945,-985.8147908,22,0
946,-4263,55,0
947,20,16,1
948,15,21,1
949,-1.682558154,36,0
950,-985,24,0
951,16,20,1
952,-12022,70,0
953,-197.503415,55,0
954,-2,38,0
955,-102,38,0
956,-2013.780895,50,0
957,13,23,1
958,-3185.503415,44,0
959,-246,34,0
960,-91,27,0
961,-43,31,0
962,11,25,1
963,-5,41,0
964,-12,48,0
965,-4,40,0
966,-5054,95,0
967,-1001,38,0
968,-1,37,0
969,12,24,1
970,15,23,1
971,6,30,1
972,-4,40,0
973,-999.7808949,35,0
974,-335,27,0
975,-242,30,0
976,-4.709786599,39,0
977,-992,29,0
978,14,22,1
979,5,31,1
980,6.389123096,29,1
981,14.46726401,20,1
982,-993,30,0
983,18.3891231,19,1
984,8,28,1
985,2,34,1
986,-1018,55,0
987,-278,18,0
988,-997,36,0
989,9,27,1
990,-2258.463048,48,0
991,-15,51,0
992,3,33,1
993,-190,26,0
994,1.60822819,32,1
995,12.3891231,23,1
996,-186,22,0
997,-192,28,0
998,2,34,1
999,-1993.610877,29,0
1000,-2.610876904,38,0
