episode,reward,moves,success
811,-1991.7097865986966,28,0
812,-1992.0,30,0
813,-1991.0,29,0
814,-990.9260951903481,27,0
815,-992.0,29,0
816,-992.0,29,0
817,-990.0,27,0
818,-989.0,26,0
819,-994.0,31,0
820,-994.0593062486897,27,0
821,-1989.0,27,0
822,-990.0,27,0
823,-990.0,27,0
824,-1994.532735987915,29,0
825,-992.0,29,0
826,-1992.0,30,0
827,-990.8147908047299,27,0
828,-995.0,32,0
829,-1990.463047595174,28,0
830,-990.0,27,0
831,-4995.606410095352,28,0
832,-995.0716812500891,31,0
833,-1991.0,27,0
834,-997.7097865986967,33,0
835,-992.0,29,0
836,-990.0,27,0
837,-990.0,27,0
838,-990.8147908047299,27,0
839,-994.0,31,0
840,-992.2778383999039,28,0
841,-1990.0,28,0
842,-992.0,29,0
843,-990.0,27,0
844,-996.0,33,0
845,-992.0,29,0
846,-990.0,27,0
847,-2992.0,29,0
848,-990.463047595174,27,0
849,-996.0,33,0
850,-1990.463047595174,28,0
851,-990.0,27,0
852,-990.0,27,0
853,-1992.1433625001782,28,0
854,-2990.0,29,0
855,-1993.0,31,0
856,-990.0,27,0
857,-1991.0,27,0
858,-994.1728341938708,29,0
859,-1989.0,27,0
860,-1993.0,29,0
861,-996.0,33,0
862,-992.0,29,0
863,-990.0,27,0
864,-996.0,33,0
865,-991.2778383999039,27,0
866,-992.0,29,0
867,-992.0,29,0
868,-992.463047595174,29,0
869,-992.0,29,0
870,-990.0,27,0
871,-990.0,27,0
872,-992.0,29,0
873,-992.0,29,0
874,-992.463047595174,29,0
875,-994.0,31,0
876,-990.0,27,0
877,-990.0,27,0
878,-1990.463047595174,28,0
879,-996.0,33,0
880,-990.0,27,0
881,-1991.0,27,0
882,-2995.0,32,0
883,-2991.0,30,0
884,-990.463047595174,27,0
885,-992.6579908016781,27,0
886,-990.0,27,0
887,-992.463047595174,29,0
888,-993.0716812500891,29,0
889,-992.0,29,0
890,-991.532735987915,27,0
891,-3993.0,29,0
892,-990.0,27,0
893,-990.0,27,0
894,-1990.0,26,0
895,-993.3779288422114,27,0
896,-992.0,29,0
897,-990.463047595174,27,0
898,-2990.463047595174,27,0
899,-1992.0,30,0
900,-992.463047595174,29,0
901,-990.463047595174,27,0
902,-1990.0,28,0
903,-1994.534728845263,31,0
904,-992.0,29,0
905,-992.0,29,0
906,-1994.0,32,0
907,-990.0,27,0
908,-1990.0,28,0
909,-990.0,27,0
910,-1992.0,30,0
911,-1991.0,29,0
912,-1993.0716812500891,30,0
913,-1991.0,29,0
914,-2990.0,29,0
915,-990.463047595174,27,0
916,-996.0,33,0
917,-992.0,29,0
918,-1990.463047595174,28,0
919,-992.463047595174,29,0
920,-989.0,26,0
921,-990.0,27,0
922,-990.0,27,0
923,-995.8431999969482,31,0
924,-1992.0,30,0
925,-1992.463047595174,30,0
926,-990.0,27,0
927,-1990.0,28,0
928,-990.463047595174,27,0
929,-990.0,27,0
930,-1991.0,29,0
931,-990.0,27,0
932,-991.532735987915,27,0
933,-992.0,29,0
934,-1992.0,30,0
935,-990.0,27,0
936,-990.0,27,0
937,-992.0,29,0
938,-990.0,27,0
939,-990.0,27,0
940,-992.0,29,0
941,-992.0,29,0
942,-1990.0,28,0
943,-990.0,27,0
944,-994.0,31,0
945,-1990.0,28,0
946,-990.0,27,0
947,-991.0716812500891,27,0
948,-990.0,27,0
949,-992.0,29,0
950,-992.0,29,0
951,-990.463047595174,27,0
952,-990.0,27,0
953,-1992.532735987915,27,0
954,-1992.0,28,0
955,-3990.0,30,0
956,-990.0,27,0
957,-992.8147908047299,29,0
958,-1990.0,28,0
959,-994.0,31,0
960,-2992.0,31,0
961,-992.0,29,0
962,-994.0,31,0
963,-990.0,27,0
964,-1991.0,27,0
965,-992.0,29,0
966,-2992.0,31,0
967,-990.0,27,0
968,-992.0,29,0
969,-990.9260951903481,27,0
970,-1994.0,32,0
971,-1990.0,28,0
972,-990.463047595174,27,0
973,-1989.0,27,0
974,-992.0,29,0
975,-1989.0,27,0
976,-990.0,27,0
977,-1995.463047595174,33,0
978,-991.0716812500891,27,0
979,-2994.0,33,0
980,-992.0,29,0
981,-1991.0,27,0
982,-990.0,27,0
983,-991.8431999969482,27,0
984,-990.0,27,0
985,-990.0,27,0
986,-1992.0,30,0
987,-990.0,27,0
988,-990.463047595174,27,0
989,-990.0,27,0
990,-990.0,27,0
991,-990.0,27,0
992,-990.0,27,0
993,-991.0716812500891,27,0
994,-1989.0,27,0
995,-990.0,27,0
996,-2992.0,31,0
997,-1990.0,28,0
998,-990.0,27,0
999,-992.0,29,0
1000,-990.8147908047299,27,0
